latitude,longitude,stn_name
1.440585001,103.800988,ADMIRALTY MRT STATION
1.316432612,103.882906,ALJUNIED MRT STATION
1.369933175,103.8495581,ANG MO KIO MRT STATION
1.342501178,103.8801779,BARTLEY MRT STATION
1.281873788,103.8590798,BAYFRONT MRT STATION
1.312591629,103.9409688,BAYSHORE MRT STATION
1.341223176,103.7757943,BEAUTY WORLD MRT STATION
1.323979969,103.9299845,BEDOK MRT STATION
1.334742117,103.9179783,BEDOK NORTH MRT STATION
1.33660783,103.9322346,BEDOK RESERVOIR MRT STATION
1.31688894,103.9490653,BEDOK SOUTH MRT STATION
1.298918434,103.8503538,BENCOOLEN MRT STATION
1.313672233,103.862978,BENDEMEER MRT STATION
1.35130868,103.8491544,BISHAN MRT STATION
1.319335709,103.8615695,BOON KENG MRT STATION
1.338604055,103.7060646,BOON LAY MRT STATION
1.322488071,103.816014,BOTANIC GARDENS MRT STATION
1.340105207,103.8467559,BRADDELL MRT STATION
1.296861687,103.8506674,BRAS BASAH MRT STATION
1.363671376,103.8336316,BRIGHT HILL MRT STATION
1.382877858,103.8931216,BUANGKOK MRT STATION
1.30026469,103.8556148,BUGIS MRT STATION
1.349034109,103.7495668,BUKIT BATOK MRT STATION
1.333728883,103.8306896,BUKIT BROWN MRT STATION
1.358611591,103.7517909,BUKIT GOMBAK MRT STATION
1.379002117,103.7615351,BUKIT PANJANG MRT STATION
1.306634504,103.7907094,BUONA VISTA MRT STATION
1.337674508,103.8395298,CALDECOTT MRT STATION
1.443243716,103.8295781,CANBERRA MRT STATION
1.369815449,103.7644392,CASHEW MRT STATION
1.357478975,103.9878836,CHANGI AIRPORT MRT STATION
1.284359578,103.8434268,CHINATOWN MRT STATION
1.342352821,103.7325967,CHINESE GARDEN MRT STATION
1.385363165,103.7443708,CHOA CHU KANG MRT STATION
1.292936243,103.8525859,CITY HALL MRT STATION
1.288386024,103.8465552,CLARKE QUAY MRT STATION
1.315201264,103.7651824,CLEMENTI MRT STATION
1.302508537,103.7982261,COMMONWEALTH MRT STATION
1.308547984,103.8890647,DAKOTA MRT STATION
1.298701307,103.8461152,DHOBY GHAUT MRT STATION
1.311405293,103.7786378,DOVER MRT STATION
1.27944619,103.8528404,DOWNTOWN MRT STATION
1.293657725,103.8550812,ESPLANADE MRT STATION
1.319838347,103.9036269,EUNOS MRT STATION
1.335382137,103.9623757,EXPO MRT STATION
1.311905574,103.8534777,FARRER PARK MRT STATION
1.317439151,103.8073792,FARRER ROAD MRT STATION
1.292478928,103.8443283,FORT CANNING MRT STATION
1.279145673,103.8680247,GARDENS BY THE BAY MRT STATION
1.321505838,103.8719006,GEYLANG BAHRU MRT STATION
1.293814735,103.8337251,GREAT WORLD MRT STATION
1.319505215,103.660553,GUL CIRCLE MRT STATION
1.265389384,103.8215302,HARBOURFRONT MRT STATION
1.282571358,103.7817527,HAW PAR VILLA MRT STATION
1.362344868,103.7674183,HILLVIEW MRT STATION
1.312240296,103.7963991,HOLLAND VILLAGE MRT STATION
1.371292293,103.8923805,HOUGANG MRT STATION
1.305171388,103.8552957,JALAN BESAR MRT STATION
1.327717173,103.6783751,JOO KOON MRT STATION
1.33315262,103.7422865,JURONG EAST MRT STATION
1.334967302,103.9084597,KAKI BUKIT MRT STATION
1.31148891,103.8713865,KALLANG MRT STATION
1.297947905,103.8860802,KATONG PARK MRT STATION
1.321038249,103.9129494,KEMBANGAN MRT STATION
1.293536986,103.7845724,KENT RIDGE MRT STATION
1.41738337,103.8329799,KHATIB MRT STATION
1.335662762,103.7833991,KING ALBERT PARK MRT STATION
1.36017917,103.8850649,KOVAN MRT STATION
1.42508698,103.7621375,KRANJI MRT STATION
1.272254178,103.8026316,LABRADOR PARK MRT STATION
1.34425925,103.7209493,LAKESIDE MRT STATION
1.307391879,103.8627846,LAVENDER MRT STATION
1.385506579,103.8357438,LENTOR MRT STATION
1.306800025,103.849647,LITTLE INDIA MRT STATION
1.351612171,103.8641519,LORONG CHUAN MRT STATION
1.326150243,103.8892986,MACPHERSON MRT STATION
